DisNo.,type_name
2004-0609-PHL,"Slide (land, mud, snow, rock)"
2004-0633-ALB,Broken Dam/Burst bank
2004-0659-IDN,Tsunami/Tidal wave
2004-0659-KEN,Tsunami/Tidal wave
2004-0659-MDV,Tsunami/Tidal wave
2004-0659-MYS,Tsunami/Tidal wave
2004-0659-THA,Tsunami/Tidal wave
2004-0670-SVN,"Slide (land, mud, snow, rock)"
2004-0674-AUS,Hail
2004-0674-AUS,Rain
2004-0676-VEN,"Slide (land, mud, snow, rock)"
2004-0731-USA,Hail
2004-0735-VNM,Rain
2004-9063-PER,Cold wave
2004-9085-SOM,Food shortage
2004-9288-KEN,Crop failure
2004-9288-KEN,Food shortage
2004-9363-HND,Food shortage
2004-9480-AGO,Food shortage
2004-9577-TZA,Food shortage
2005-0011-DNK,Transport accident
2005-0011-EST,Rain
2005-0011-GBR,Transport accident
2005-0011-RUS,Rain
2005-0015-USA,"Slide (land, mud, snow, rock)"
2005-0021-CRI,"Slide (land, mud, snow, rock)"
2005-0021-PAN,"Slide (land, mud, snow, rock)"
2005-0028-SAU,Broken Dam/Burst bank
2005-0028-SAU,Rain
2005-0029-USA,Cold wave
2005-0044-AFG,Cold wave
2005-0044-PAK,Cold wave
2005-0045-ALB,"Avalanche (Snow, Debris)"
2005-0045-ALB,Cold wave
2005-0045-BGR,Cold wave
2005-0045-BIH,Cold wave
2005-0045-CZE,Cold wave
2005-0045-HRV,Cold wave
2005-0045-HUN,Cold wave
2005-0045-MKD,Cold wave
2005-0045-POL,Cold wave
2005-0045-ROU,Cold wave
2005-0045-RUS,Cold wave
2005-0045-SCG,Cold wave
2005-0045-TUR,Transport accident
2005-0054-BRA,"Slide (land, mud, snow, rock)"
2005-0073-VEN,"Slide (land, mud, snow, rock)"
2005-0079-PAK,Broken Dam/Burst bank
2005-0079-PAK,"Slide (land, mud, snow, rock)"
2005-0083-COL,Collapse
2005-0083-COL,"Slide (land, mud, snow, rock)"
2005-0103-USA,Rain
2005-0103-USA,"Slide (land, mud, snow, rock)"
2005-0113-IRN,"Slide (land, mud, snow, rock)"
2005-0123-CHN,Cold wave
2005-0129-JPN,"Slide (land, mud, snow, rock)"
2005-0130-BGD,Rain
2005-0131-ROU,"Slide (land, mud, snow, rock)"
2005-0143-COD,Flood
2005-0156-SWZ,Rain
2005-0160-IDN,Tsunami/Tidal wave
2005-0170-PAK,Broken Dam/Burst bank
2005-0188-CHN,Hail
2005-0188-CHN,Rain
2005-0191-IND,Hail
2005-0191-IND,Rain
2005-0196-COL,"Slide (land, mud, snow, rock)"
2005-0205-COM,Pollution
2005-0211-JPN,"Slide (land, mud, snow, rock)"
2005-0214-ROU,Broken Dam/Burst bank
2005-0214-ROU,"Slide (land, mud, snow, rock)"
2005-0214-SCG,Broken Dam/Burst bank
2005-0215-ETH,Broken Dam/Burst bank
2005-0219-USA,Flood
2005-0223-IDN,"Slide (land, mud, snow, rock)"
2005-0225-GEO,"Slide (land, mud, snow, rock)"
2005-0228-SAU,Rain
2005-0229-RUS,Broken Dam/Burst bank
2005-0240-SLV,"Slide (land, mud, snow, rock)"
2005-0261-BGD,Broken Dam/Burst bank
2005-0265-BGR,Rain
2005-0275-DOM,Rain
2005-0275-DOM,"Slide (land, mud, snow, rock)"
2005-0276-RUS,Broken Dam/Burst bank
2005-0276-RUS,"Slide (land, mud, snow, rock)"
2005-0283-MEX,Rain
2005-0285-RUS,Broken Dam/Burst bank
2005-0286-USA,Rain
2005-0296-BRA,"Slide (land, mud, snow, rock)"
2005-0302-NZL,"Slide (land, mud, snow, rock)"
2005-0303-THA,Hail
2005-0304-TJK,"Slide (land, mud, snow, rock)"
2005-0311-CHN,Hail
2005-0312-CHN,Hail
2005-0314-IND,"Slide (land, mud, snow, rock)"
2005-0315-VNM,Rain
2005-0321-CHL,"Slide (land, mud, snow, rock)"
2005-0334-CHN,"Slide (land, mud, snow, rock)"
2005-0337-ROU,Broken Dam/Burst bank
2005-0337-ROU,Rain
2005-0338-BGR,Broken Dam/Burst bank
2005-0338-BGR,"Slide (land, mud, snow, rock)"
2005-0344-CHN,"Slide (land, mud, snow, rock)"
2005-0348-HND,"Slide (land, mud, snow, rock)"
2005-0348-SLV,"Slide (land, mud, snow, rock)"
2005-0351-CUB,Flood
2005-0351-CUB,"Slide (land, mud, snow, rock)"
2005-0351-HTI,Flood
2005-0351-HTI,Rain
2005-0351-JAM,Rain
2005-0351-JAM,"Slide (land, mud, snow, rock)"
2005-0354-IND,Broken Dam/Burst bank
2005-0359-KGZ,"Slide (land, mud, snow, rock)"
2005-0361-IND,Broken Dam/Burst bank
2005-0370-TJK,"Slide (land, mud, snow, rock)"
2005-0371-PRK,"Slide (land, mud, snow, rock)"
2005-0375-IND,"Slide (land, mud, snow, rock)"
2005-0381-CHN,Flood
2005-0381-TWN,Flood
2005-0382-HTI,Flood
2005-0382-TTO,"Slide (land, mud, snow, rock)"
2005-0392-KOR,"Slide (land, mud, snow, rock)"
2005-0393-CHL,"Slide (land, mud, snow, rock)"
2005-0395-CHN,Hail
